Project Name,Address Wallet,Address,Investment,Profit,Transactions,Win Rate,PnL,ROI,Initial Balance
BAKED,https://solscan.io/account/37WD5cSZKfAHoD42SEWuxCwf3z1HWeDuAXqvQ9DJnr48,37WD5cSZKfAHoD42SEWuxCwf3z1HWeDuAXqvQ9DJnr48,$708,$7K,1,,,,
BAKED,https://solscan.io/account/6DjR8FqYmgxSLr9qNrk6Lwq6SgUxRDszvugVZnfuSZhN,6DjR8FqYmgxSLr9qNrk6Lwq6SgUxRDszvugVZnfuSZhN,$2K,$6K,1,,,,
WOLF,https://solscan.io/account/C2FCyYpEKZmkchGdSwznZWuhZ91uXWqPhxpa1hHFz3FH,C2FCyYpEKZmkchGdSwznZWuhZ91uXWqPhxpa1hHFz3FH,$3K,$39K,1,,,,
WOLF,https://solscan.io/account/HbfTpiQP1Q1FMh8bubkkcCmuBwtQxxhEXrKvCa4HvBQA,HbfTpiQP1Q1FMh8bubkkcCmuBwtQxxhEXrKvCa4HvBQA,$1K,$38K,1,,,,
BIRDDOG,https://solscan.io/account/AfZNEGXWU31sdASqawqngVebwivAVpP2JQqYBnny4pAM,AfZNEGXWU31sdASqawqngVebwivAVpP2JQqYBnny4pAM,$14,$86K,1,,,,
BIRDDOG,https://solscan.io/account/4kBsc525xbrVQyVxHDKkQGtnbPdNKhyEu1ZioBs1WKSX,4kBsc525xbrVQyVxHDKkQGtnbPdNKhyEu1ZioBs1WKSX,$2K,$61K,1,,,,
BIRDDOG,https://solscan.io/account/Aaubs9uykxpUN9pL1jenvBJJLECV6qErDtPRNiv7Wvga,Aaubs9uykxpUN9pL1jenvBJJLECV6qErDtPRNiv7Wvga,$247,$11K,1,,,,
BIRDDOG,https://solscan.io/account/84gxkyqkJERNXcAcmJ3XrPDYn7zPUVq8q7LJBmx8kiu1,84gxkyqkJERNXcAcmJ3XrPDYn7zPUVq8q7LJBmx8kiu1,$1K,$11K,1,,,,
BIRDDOG,https://solscan.io/account/3xv29yNTquedZT92gxycEN9hQusLX8Ui5jWoXt9SzCnK,3xv29yNTquedZT92gxycEN9hQusLX8Ui5jWoXt9SzCnK,$863,$7K,1,,,,
BIRDDOG,https://solscan.io/account/6PD234hHjB7Y97f2TVSWZCtUbcezhGmVjdVqT6NT486u,6PD234hHjB7Y97f2TVSWZCtUbcezhGmVjdVqT6NT486u,$2K,$7K,1,,,,
BIRDDOG,https://solscan.io/account/GNtijqeUZX38usxRf21M8DpUzJNEWjv4KeLQEmQ84qWY,GNtijqeUZX38usxRf21M8DpUzJNEWjv4KeLQEmQ84qWY,$3K,$6K,1,,,,
BIRDDOG,https://solscan.io/account/2Z7PRSLfM6AFa3CUG6wxfHW2Mnh7LPgmsxak7nbmPwM7,2Z7PRSLfM6AFa3CUG6wxfHW2Mnh7LPgmsxak7nbmPwM7,$3K,$6K,1,,,,
soba,https://solscan.io/account/B55bHZRYG9HqzLxGhgxpYnHXhDWEgSXLbGEC1KVagKJZ,B55bHZRYG9HqzLxGhgxpYnHXhDWEgSXLbGEC1KVagKJZ,$1K,$47K,1,,,,
soba,https://solscan.io/account/5XRN1zqyVR6heHd9iZqLXHYi9HHV25w4kenM5dMvSvKi,5XRN1zqyVR6heHd9iZqLXHYi9HHV25w4kenM5dMvSvKi,$490,$32K,1,,,,
soba,https://solscan.io/account/68ZQDV4k3VuPVHzcz6Uu7St1uitEaGiM8xWydVHyNu8J,68ZQDV4k3VuPVHzcz6Uu7St1uitEaGiM8xWydVHyNu8J,$2K,$12K,1,,,,
soba,https://solscan.io/account/EmBR3VGhti1wvLARh3QeqBZU2JDi5QmNymT9EwCrWZvT,EmBR3VGhti1wvLARh3QeqBZU2JDi5QmNymT9EwCrWZvT,$633,$9K,1,,,,
soba,https://solscan.io/account/B95CQ9wdaG7mhuFk9rseVQdiXG425daf1UmqVWTQ817M,B95CQ9wdaG7mhuFk9rseVQdiXG425daf1UmqVWTQ817M,$648,$5K,1,,,,
soba,https://solscan.io/account/5Mh6i5arjpQiZd89yzXv7F47frLBAJ72dWrpqvLGhCGD,5Mh6i5arjpQiZd89yzXv7F47frLBAJ72dWrpqvLGhCGD,$281,$5K,1,,,,
soba,https://solscan.io/account/6NNY213u5VxYUEdnTaqYuakoHSSRBiqSrQqhN1j8b3PM,6NNY213u5VxYUEdnTaqYuakoHSSRBiqSrQqhN1j8b3PM,$425,$3K,1,,,,
soba,https://solscan.io/account/D2JtTjxUekgx3nCBH68HhX3ETsYDhKtNq66ZN5Dnpq5w,D2JtTjxUekgx3nCBH68HhX3ETsYDhKtNq66ZN5Dnpq5w,$999,$2K,1,,,,
soba,https://solscan.io/account/4mj4uRgg8FEFRT5HDqADUJ6R6GunWWCfZZEZAiGDs6ZN,4mj4uRgg8FEFRT5HDqADUJ6R6GunWWCfZZEZAiGDs6ZN,$71,$2K,1,,,,
JASON,https://solscan.io/account/DijroykWBdhU1miZKd2e36femZrESeDRSJzu79eHggxE,DijroykWBdhU1miZKd2e36femZrESeDRSJzu79eHggxE,$921,$120K,1,,,,
JASON,https://solscan.io/account/2pENoWVJaBumKN57C7b6CzepDnNjZ5QsggXF5p3AcLj3,2pENoWVJaBumKN57C7b6CzepDnNjZ5QsggXF5p3AcLj3,$400,$30K,1,,,,
JASON,https://solscan.io/account/HtnZSBGa7pvoVt5BVHqApkfFEtDq74bfzmYASyX3QgEV,HtnZSBGa7pvoVt5BVHqApkfFEtDq74bfzmYASyX3QgEV,$9K,$25K,1,,,,
JASON,https://solscan.io/account/B59WJbd92wyKHGgExbbbVU7CSjEcFmSxhxiX5oynTidM,B59WJbd92wyKHGgExbbbVU7CSjEcFmSxhxiX5oynTidM,$587,$25K,1,,,,
JASON,https://solscan.io/account/6gHP6D4FZ7xobuCR9KLxYiQdFz9EMMLkHADN17RsPJBQ,6gHP6D4FZ7xobuCR9KLxYiQdFz9EMMLkHADN17RsPJBQ,$472,$23K,1,,,,
JASON,https://solscan.io/account/5UHGan6RJrVjWZe2na7YQ7jfD7x5nbtpiGb2MU2YV5u,5UHGan6RJrVjWZe2na7YQ7jfD7x5nbtpiGb2MU2YV5u,$258,$23K,1,,,,
JASON,https://solscan.io/account/2kNzpf9sKQ5r8XhDJRvsBpNQkoCqbHqjR4ber2eWD5k7,2kNzpf9sKQ5r8XhDJRvsBpNQkoCqbHqjR4ber2eWD5k7,$636,$22K,1,,,,
JASON,https://solscan.io/account/6sd8jj9J7vJJ2ScNKePxCcLgBY3usksRJ7NmFrufYP6t,6sd8jj9J7vJJ2ScNKePxCcLgBY3usksRJ7NmFrufYP6t,$132,$21K,1,,,,
$WATER,https://solscan.io/account/HQDo93gMFZf2959ETXVBRuviNn5fEXXW3Jcjv3dvtoyC,HQDo93gMFZf2959ETXVBRuviNn5fEXXW3Jcjv3dvtoyC,$7K,$349K,1,,,,
$WATER,https://solscan.io/account/7NiHsGDnBrgXqQdaAhxgtzZbuG98Td1PygTYiWni4MmL,7NiHsGDnBrgXqQdaAhxgtzZbuG98Td1PygTYiWni4MmL,$12,$97K,1,,,,
$WATER,https://solscan.io/account/FS5DWt77FcerTNguwRzzGqDjX34ekfAynk3BNPbDc9o9,FS5DWt77FcerTNguwRzzGqDjX34ekfAynk3BNPbDc9o9,$28K,$93K,1,,,,
