Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
CHILL,https://solscan.io/account/8HWKSxun9CWhhmig7VnFS855jEqd7L3ZELEofVWHPiK1,8HWKSxun9CWhhmig7VnFS855jEqd7L3ZELEofVWHPiK1,$430,$534,1,,,,,
CHILL,https://solscan.io/account/j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,$67,$454,1,,,,,
CHILL,https://solscan.io/account/C3Mgr2CTA7zCzHcuCNyZe9oo3JwkDzjycSkSYTkmsH57,C3Mgr2CTA7zCzHcuCNyZe9oo3JwkDzjycSkSYTkmsH57,"$2,584",$441,1,,,,,
CHILL,https://solscan.io/account/9Ji7Y3iJvsUFPymMfQ83uFAwdjczotbqT8yYmtYCnBxJ,9Ji7Y3iJvsUFPymMfQ83uFAwdjczotbqT8yYmtYCnBxJ,$431,$426,1,,,,,
CHILL,https://solscan.io/account/6MJGBw5czoU6wZY3cWB6Uas5omJjJTiZ8qKg4gwokX4M,6MJGBw5czoU6wZY3cWB6Uas5omJjJTiZ8qKg4gwokX4M,$721,$417,1,,,,,
CHILL,https://solscan.io/account/DDphrqBv72cBipXPUBqChCVzxjd9qhmQdsuJXVtQZfqC,DDphrqBv72cBipXPUBqChCVzxjd9qhmQdsuJXVtQZfqC,$113,$394,1,,,,,
CHILL,https://solscan.io/account/6RUVaEnzX28y7mrYZQbmdA4QHAFQfCdRvzmfyEHWfMmN,6RUVaEnzX28y7mrYZQbmdA4QHAFQfCdRvzmfyEHWfMmN,$271,$341,1,,,,,
CHILL,https://solscan.io/account/J72pD5EyEatjzt9JMD3EfeZytLUgVma2YTY3CqGxoSzH,J72pD5EyEatjzt9JMD3EfeZytLUgVma2YTY3CqGxoSzH,$445,$333,1,,,,,
CHILL,https://solscan.io/account/3WRnpTbBpyyMWhAqwgdUyok7EFV9m3KtswTCeqFxGF7A,3WRnpTbBpyyMWhAqwgdUyok7EFV9m3KtswTCeqFxGF7A,"$1,428",$283,1,,,,,
CHILL,https://solscan.io/account/HvmWXKCfhWAPUHef8oAoeH8WbWndnU5voYVyFDN7x8Bi,HvmWXKCfhWAPUHef8oAoeH8WbWndnU5voYVyFDN7x8Bi,$195,$271,1,,,,,
CHILL,https://solscan.io/account/HE3PbTzTQVHsfXyvJa9SqhC6jbj5TrcsfV8LFjKnjEAM,HE3PbTzTQVHsfXyvJa9SqhC6jbj5TrcsfV8LFjKnjEAM,$432,$258,1,,,,,
CHILL,https://solscan.io/account/CJGux1dAVucYvLhjHEeufCzavJnheTPAHxK6zCeSk9Tp,CJGux1dAVucYvLhjHEeufCzavJnheTPAHxK6zCeSk9Tp,$144,$256,1,,,,,
CHILL,https://solscan.io/account/BJQWf9peuwp2297w8D18F5uawksECEkAzhJC6D6Uk2fB,BJQWf9peuwp2297w8D18F5uawksECEkAzhJC6D6Uk2fB,$429,$253,1,,,,,
BOME,https://solscan.io/account/ExNbpJdDNaKPqD5L5843sczCBDNP77uYh5iXyvsknWgU,ExNbpJdDNaKPqD5L5843sczCBDNP77uYh5iXyvsknWgU,$203,$155.2K,1,,,,,
BOME,https://solscan.io/account/3oSbiNMEY5ccHeS1kZaEEWSrDnq4zBUF5oBAPjGfw2zh,3oSbiNMEY5ccHeS1kZaEEWSrDnq4zBUF5oBAPjGfw2zh,"$1,082",$83.5K,1,,,,,
BOME,https://solscan.io/account/AwugNUHxr2fXsYPEZuBv2p3h2JAKGfT7pFeVMF2jUPjT,AwugNUHxr2fXsYPEZuBv2p3h2JAKGfT7pFeVMF2jUPjT,$11.3K,$58.5K,1,,,,,
BOME,https://solscan.io/account/4vCpfC6dYhmnPjgyA6vyRnk7GTR8RCE15RyHfqWcE2pY,4vCpfC6dYhmnPjgyA6vyRnk7GTR8RCE15RyHfqWcE2pY,"$8,652",$50.8K,1,,,,,
BOME,https://solscan.io/account/3HmdSXaifCptP2vCveVXkUGoXUuwavzEvK8Bgb35Uwbb,3HmdSXaifCptP2vCveVXkUGoXUuwavzEvK8Bgb35Uwbb,"$5,992",$23.9K,1,,,,,
BOME,https://solscan.io/account/GvKyTjKxPxFFzVdZgYVnJYyWDtyXDn9y6hGfCMappcx7,GvKyTjKxPxFFzVdZgYVnJYyWDtyXDn9y6hGfCMappcx7,$10.9K,$22.5K,1,,,,,
$WIF,https://solscan.io/account/3YmnNw3gzib4KdzBZFYjWdVu2rt2feyuksUP1VU5BxVf,3YmnNw3gzib4KdzBZFYjWdVu2rt2feyuksUP1VU5BxVf,$567,$120.3K,1,,,,,
$WIF,https://solscan.io/account/BrTNWy6uHV3SugrY9BaGhVfBB8sh7nHnhrhxEQHHELQ8,BrTNWy6uHV3SugrY9BaGhVfBB8sh7nHnhrhxEQHHELQ8,$10.1K,$55.9K,1,,,,,
$WIF,https://solscan.io/account/HNtgGS1ERxQxxSg718eFnd6nVxNNZbxjPumXAYq6AXHN,HNtgGS1ERxQxxSg718eFnd6nVxNNZbxjPumXAYq6AXHN,$611,$53.4K,1,,,,,
$WIF,https://solscan.io/account/CwMTJgu74Zrr7fJ9PffkpdeYUtgQeA4hSXh14KSmuzVz,CwMTJgu74Zrr7fJ9PffkpdeYUtgQeA4hSXh14KSmuzVz,$297,$48.6K,1,,,,,
$WIF,https://solscan.io/account/HBXaz796WEJ56r2BPGb6F8y2QmNMazAwkEt5cVZjVGq8,HBXaz796WEJ56r2BPGb6F8y2QmNMazAwkEt5cVZjVGq8,"$5,778",$44.0K,1,,,,,
